"num, RMSE"
0,3.8032438159
3,3.8032438159
6,3.8032438159
9,3.8032438159
12,2.91628905417
15,2.27137623847
18,1.88950446589
21,1.67213380507
24,1.57205876608
27,1.48274653632
30,1.43059470194
33,1.37544945152
36,1.34007307109
39,1.30211443954
42,1.26570751303
45,1.22948759327
48,1.19707914579
51,1.17247627168
54,1.15112789757
57,1.13375429232
60,1.11387816812
63,1.09493960265
66,1.07837371519
69,1.06530200579
72,1.05083323841
75,1.039061835
78,1.02726089757
81,1.01738943849
84,1.00900891125
87,0.999751630032
90,0.990012918796
93,0.981268664303
96,0.972122330464
99,0.962836894797
102,0.954551027007
105,0.946535736895
108,0.938831033639
111,0.931973864388
114,0.925715751792
117,0.919982126385
120,0.914981231901
123,0.910580859063
126,0.906678836843
129,0.903194951688
132,0.900837623116
135,0.899103594215
138,0.89742824423
141,0.895817602751
144,0.894368542207
147,0.893057904151
150,0.891866754704
153,0.890779463109
156,0.889463045618
159,0.888260553003
162,0.887157806875
165,0.886068255375
168,0.884702988226
171,0.883445233311
174,0.881726124715
177,0.880106112225
180,0.878607876312
183,0.877218177567
186,0.876216631212
189,0.87528624748
192,0.874419700703
195,0.873494247113
198,0.872631217121
